RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          900     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  130  137     0     0  con    0  1.0D+00  1.3D+00  4.003D-03  1.224D+00
  131  138     0     0  con    0  1.0D+00  2.7D-01  2.101D-03  1.223D+00
  132  139     0     0  con    0  1.0D+00  1.0D-01  2.022D-03  1.222D+00
  133  140     0     0  con    0  1.0D+00  2.3D-01  1.605D-03  1.221D+00
  134  141     0     0  con    0  1.0D+00  8.6D-01  3.798D-03  1.220D+00
  135  142     0     0  con    0  1.0D+00  4.8D-01  3.089D-03  1.219D+00
  136  143     0     0  con    0  1.0D+00  1.1D-01  1.215D-03  1.218D+00
  137  144     0     0  con    0  1.0D+00  3.6D-01  1.426D-03  1.217D+00
  138  145     0     0  con    0  1.0D+00  5.5D-01  4.705D-03  1.216D+00
  139  146     0     0  con    0  1.0D+00  3.8D-01  4.051D-03  1.215D+00
  140  147     0     0  con    0  1.0D+00  8.9D-01  1.964D-03  1.213D+00
  141  148     0     0  con    0  1.0D+00  3.9D-01  2.366D-03  1.212D+00
  142  149     0     0  con    0  1.0D+00  7.6D-01  2.941D-03  1.210D+00
  143  150     0     0  con    0  1.0D+00  1.0D+00  5.414D-03  1.209D+00
  144  151     0     0  con    0  1.0D+00  2.0D-01  1.910D-03  1.208D+00

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 3.535E+01 seconds.

